,USME,CIUDAD BOLIVAR,SAN CRISTOBAL,RAFAEL URIBE,TUNJUELITO,SANTA FE,ANTONIO NARINO,PUENTE ARANDA,LOS MARTIRES,CANDELARIA,BOSA,KENNEDY,TEUSAQUILLO,CHAPINERO,FONTIBON,ENGATIVA,BARRIOS UNIDOS,USAQUEN,SUBA
2120,0,0,1,5,1,0,2,1,1,0,6,17,2,0,2,8,3,1,0
2121,0,0,2,5,1,0,2,0,2,0,7,18,1,0,2,7,2,1,0
2122,0,0,2,5,2,0,2,0,2,0,7,17,1,0,2,6,2,2,0
2123,0,0,2,6,2,0,3,0,2,0,7,16,1,0,2,6,2,1,0
2124,0,0,4,5,3,0,2,0,1,0,7,15,1,0,2,7,2,1,0
2125,0,0,1,5,3,0,2,0,1,0,8,16,1,0,2,8,2,1,0
2126,0,0,0,5,4,0,2,0,1,0,7,18,1,0,2,6,2,2,0
2127,0,0,0,5,3,0,3,0,2,0,5,18,1,0,2,6,2,2,1
2128,0,0,1,5,2,0,2,1,2,0,8,15,1,0,1,8,2,2,0
2129,0,0,0,6,1,0,2,1,2,0,7,18,1,0,1,7,2,2,0
2130,0,0,1,6,2,0,2,1,1,0,7,17,1,0,1,7,2,2,0
2131,0,0,1,5,2,0,2,1,1,0,7,18,1,0,1,7,2,2,0
2132,0,0,2,5,2,0,2,1,1,0,7,18,1,0,1,6,2,2,0
2133,0,0,2,4,1,0,2,1,1,0,6,19,0,0,2,7,2,3,0
2134,0,0,2,4,2,0,2,1,0,0,9,18,0,0,2,6,1,3,0
2135,0,0,1,4,2,0,2,1,1,0,8,18,1,0,2,7,1,2,0
2136,0,0,2,4,2,0,3,1,1,0,8,17,0,0,2,7,1,2,0
2137,0,0,2,4,2,0,3,1,1,0,8,18,0,0,2,6,1,2,0
2138,0,0,2,5,2,0,3,1,0,0,10,16,1,0,2,6,0,2,0
2139,0,0,2,5,2,0,2,1,0,0,9,17,0,0,2,7,1,2,0
2140,0,0,2,6,2,0,2,1,0,0,8,19,0,0,2,6,0,2,0
2141,0,0,1,6,2,0,2,1,0,0,8,18,0,0,1,7,0,4,0
2142,0,0,1,5,3,0,2,1,0,0,9,18,0,0,1,7,0,3,0
2143,0,0,1,7,3,0,2,1,0,0,9,18,0,0,1,7,0,1,0
2144,0,0,3,8,2,0,2,1,0,0,8,17,0,0,1,6,0,2,0
2145,0,0,1,7,1,0,2,2,1,0,9,16,1,0,1,6,0,3,0
2146,0,0,2,7,1,0,2,1,0,0,9,17,1,0,1,6,2,1,0
2147,0,0,0,7,1,0,2,1,0,0,10,17,1,0,1,7,2,1,0
2148,0,0,1,6,1,0,2,2,0,0,11,18,1,0,1,5,1,1,0
2149,0,0,2,6,1,0,2,2,0,0,9,17,2,0,1,6,1,1,0
2150,0,0,1,6,1,0,2,2,0,0,11,18,2,0,1,4,1,1,0
2151,0,0,2,6,1,0,2,2,0,0,9,16,2,0,0,6,2,2,0
2152,0,0,2,6,1,0,2,2,0,0,9,16,2,0,0,6,2,2,0
2153,0,0,2,5,1,0,2,2,0,0,9,16,2,0,1,6,2,2,0
2154,0,0,1,5,1,0,1,2,0,0,8,17,2,0,1,8,2,2,0
2155,0,0,1,6,0,0,1,1,0,0,9,16,2,0,1,9,2,2,0
2156,0,0,0,5,0,0,1,2,0,0,7,17,2,0,1,9,2,4,0
2157,0,0,0,5,0,0,1,1,0,0,9,16,2,0,1,9,2,4,0
2158,0,0,0,6,0,0,2,1,0,0,8,17,2,0,0,8,2,4,0
2159,0,0,0,7,0,0,1,1,0,0,9,15,2,0,0,8,2,5,0
2160,0,0,0,7,0,0,1,1,0,0,8,15,2,0,0,9,2,5,0
2161,0,0,0,8,1,0,1,1,0,0,7,16,2,0,1,7,2,4,0
2162,0,0,0,8,1,0,1,1,0,0,7,16,2,0,1,6,2,5,0
2163,0,0,0,7,1,0,1,1,0,0,7,18,2,0,1,7,2,3,0
2164,0,0,1,7,1,0,1,1,0,0,7,15,2,0,2,7,2,4,0
2165,0,0,1,7,2,0,2,0,0,0,8,15,2,0,2,5,2,4,0
2166,0,0,1,7,2,0,2,0,0,0,8,15,2,0,1,7,2,3,0
2167,0,0,1,7,1,0,2,0,0,0,8,16,2,0,1,6,2,4,0
2168,0,0,0,7,2,0,2,0,0,0,8,15,2,0,0,8,2,4,0
2169,0,0,1,6,1,0,2,0,0,0,8,16,2,0,0,8,2,4,0
2170,0,0,0,7,3,0,2,0,0,0,7,15,2,0,0,9,2,3,0
2171,0,0,1,7,2,0,2,0,0,0,6,17,2,0,1,7,2,3,0
2172,0,0,1,7,1,0,2,0,0,0,6,18,2,0,1,8,1,3,0
2173,0,0,2,7,2,0,0,0,0,0,7,18,2,0,2,7,1,2,0
2174,0,0,0,7,2,0,0,0,0,0,7,18,2,0,2,8,1,3,0
2175,0,0,0,7,2,0,0,0,0,0,9,17,2,0,2,6,2,3,0
2176,0,0,0,7,2,0,0,0,0,0,9,16,2,0,1,9,1,3,0
2177,0,0,1,6,2,0,0,0,0,0,9,13,2,0,2,11,1,3,0
2178,0,0,0,7,2,0,0,0,1,0,9,13,2,0,1,11,1,3,0
2179,0,0,1,6,2,0,1,0,1,0,10,12,2,0,2,9,1,3,0
2180,0,0,1,6,2,0,0,0,1,0,10,13,2,0,2,9,1,3,0
2181,0,0,1,5,2,0,1,0,1,0,9,13,2,0,1,11,1,3,0
2182,0,0,1,7,2,0,1,0,1,0,10,10,2,0,1,11,1,3,0
2183,0,0,1,5,2,0,1,0,1,0,10,12,2,0,2,10,1,3,0
2184,0,0,1,6,2,0,1,0,1,0,7,13,1,0,2,11,0,5,0
2185,0,0,0,6,2,0,1,1,1,0,8,13,1,0,2,11,0,4,0
2186,0,0,1,5,2,0,1,1,1,0,8,13,1,0,2,10,1,4,0
2187,0,0,1,5,2,0,1,1,2,0,8,11,1,0,2,13,0,3,0
2188,0,0,1,5,1,0,1,1,1,0,9,12,1,0,2,11,1,4,0
2189,0,0,1,3,1,0,2,2,1,0,9,12,1,0,2,12,1,3,0
2190,0,0,1,4,1,0,2,2,1,0,8,12,2,0,1,12,1,3,0
2191,0,0,1,4,2,0,2,1,1,0,8,13,1,0,2,12,1,2,0
2192,0,0,1,4,2,0,2,1,1,0,8,14,2,0,2,10,1,2,0
2193,0,0,1,4,2,0,2,1,1,0,10,14,2,0,2,8,1,2,0
2194,0,0,0,4,2,0,2,1,1,0,9,13,2,0,3,9,1,3,0
2195,0,0,0,4,2,0,2,1,1,0,9,12,2,0,2,11,1,3,0
2196,0,0,0,5,2,0,2,0,1,0,8,12,3,0,2,9,1,4,1
2197,0,0,0,5,2,0,2,0,1,0,8,13,3,0,2,8,1,4,1
2198,0,0,0,4,2,0,2,1,2,0,9,12,3,0,1,9,1,4,0
2199,0,0,0,5,2,0,2,0,2,0,9,11,3,0,2,8,2,4,0
2200,0,0,0,5,2,0,2,2,2,0,8,12,3,0,1,7,2,4,0
2201,0,0,0,6,3,0,3,2,1,0,8,12,3,0,1,6,1,4,0
2202,0,0,0,6,3,0,3,2,2,0,7,12,3,0,1,8,1,2,0
2203,0,0,0,6,3,0,2,2,1,0,9,14,2,0,0,7,1,2,1
2204,0,0,0,6,3,0,2,2,1,0,10,10,2,0,1,8,1,3,1
2205,0,0,0,5,3,0,2,2,1,0,10,12,2,0,1,7,1,3,1
